target_id	length	eff_length	est_counts	tpm
NM_130786|A1BG|58858220|58864865|58858220|58858387|74.77|1(-)	1717	1823.7	1379	6.29754
NM_000014|A2M|9220308|9268825|9220308|9220418|52.34|1(-)	4915	4757.18	0	0
NM_001318038|A4GALT|43088127|43117307|43088127|43088895|83.18|1(-)	2154	2487.62	2352	7.87433
NM_001173466|AAAS|53701244|53715412|53701244|53701272|100|1(-)	1733	1941.07	14080	60.4119
NM_001286682|AADAT|170981373|171011372|170981373|170982078|56.07|1(-)	2119	1598.9	19.0223	0.0990836
NM_153698|AAED1|99403533|99417599|99403533|99404040|99.07|1(-)	1224	842.663	697	6.88874
NM_001271885|AAGAB|67494491|67547536|67494491|67495158|35.51|1(-)	1604	1280.17	13457	87.5469
NM_014911|AAK1|69694920|69870977|69694920|69703000|54.21|1(-)	11471	10203.9	551.021	0.449739
NM_001087|AAMP|219128852|219134932|219128852|219129255|85.98|1(-)	1831	1917.56	26556	115.339
NM_001605|AARS|70286288|70323412|70286288|70286623|100|1(-)	3352	3255.16	43404	111.05
NM_020745|AARS2|44267426|44281063|44267426|44268283|82.24|1(-)	3818	4037.16	5614.11	11.5815
NM_001261434|AARSD1|41102543|41116515|41102543|41102609|99.07|1(-)	1363	1186.26	2769.7	19.4452
NM_001286668|AASDH|57204539|57253674|57204539|57204567|71.96|1(-)	3242	2540.16	3043	9.97705
NM_005763|AASS|121716533|121784344|121716533|121716542|57.01|1(-)	2935	2457.9	864	2.92759
NM_001080395|AATK|79091095|79139872|79091095|79092201|61.68|1(-)	5311	6451.73	147	0.189759
NM_005502|ABCA1|107543289|107690527|107543289|107546595|50.47|1(-)	10496	9688.86	1788	1.53694
NM_001606|ABCA2|139901686|139922740|139901686|139902380|98.13|1(-)	8153	9742.15	61141	52.2683
NM_001089|ABCA3|2325882|2390747|2325882|2326674|85.05|1(-)	6619	7692.13	34687	37.5561
NM_018672|ABCA5|67243482|67311774|67243482|67243677|88.79|1(-)	6342	4746.84	4625.86	8.11613
NM_000927|ABCB1|87133174|87342639|87133174|87133558|38.32|1(-)	4720	3850.57	87	0.188172
NM_012089|ABCB10|229652589|229694442|229652589|229653925|43.93|1(-)	3596	3085.1	3743	10.1044
NM_005689|ABCB6|220074494|220083712|220074494|220074659|99.07|1(-)	3011	3373.86	5644	13.9322
NM_001271696|ABCB7|74273115|74376175|74273115|74273204|87.85|1(-)	2416	1907.21	3351	14.6331
NM_001301829|ABCC4|95672089|95953700|95672089|95673828|80.37|1(-)	5708	4763.58	16	0.0279735
NM_001320032|ABCC5|183638701|183735748|183638701|183639087|33.64|1(-)	5001	4972.38	41508	69.5229
NM_001171|ABCC6|16243422|16317328|16243422|16243989|36.45|1(-)	5116	6187.88	8335	11.2182
NM_005050|ABCD4|74752674|74769767|74752674|74753163|80.37|1(-)	2462	2460.71	2507	8.48505
NM_005692|ABCF2|150904923|150924460|150904923|150905156|37.38|1(-)	2392	2119.39	9765	38.3727
NM_001257386|ABCG2|89013320|89152474|89013320|89013507|43.93|1(-)	2371	2083.52	26	0.103929
NM_001145364|ABHD11|73150424|73153197|73150424|73150888|86.92|1(-)	1311	1285.97	13675.5	88.5672
NM_015600|ABHD12|25275379|25371618|25275379|25275608|88.79|1(-)	1723	1561.79	8462	45.1245
NM_001146314|ABHD14B|52002531|52008646|52002531|52003441|100|1(-)	2237	2629.33	15541	49.2259
NM_198147|ABHD15|27888311|27894042|27888311|27889578|96.26|1(-)	2732	2955.63	3345	9.42555
NM_001177515|ABHD16A|31654735|31670850|31654735|31654988|94.39|1(-)	2136	2285.74	14346	52.2716
NM_001130111|ABHD17A|1876975|1885518|1876975|1877198|42.06|1(-)	1562	1773.79	12589	59.1086
NM_001308256|ABHD3|19230862|19284766|19230862|19231551|74.77|1(-)	1900	1366.18	1748	10.656
NM_024527|ABHD8|17402940|17414282|17402940|17403469|96.26|1(-)	2089	2342.21	1889	6.71688
NM_001012750|ABI1|27036805|27150016|27036805|27037498|68.22|1(-)	2363	1862.8	13463	60.1917
NM_001136000|ABL2|179076734|179112224|179076734|179076852|60.75|1(-)	3358	3229.13	2487	6.41433
NM_001003407|ABLIM1|116193673|116444414|116193673|116196018|35.51|1(-)	4804	4761.78	8088.21	14.1463
NM_001092|ABR|906763|1012340|906763|909319|90.65|1(-)	5057	5580.18	12363	18.4517
NM_145804|ABTB2|34172534|34379555|34172534|34173933|84.11|1(-)	4902	5639.74	4056	5.98963
NM_001130410|ACAA1|38164206|38178733|38164206|38164537|100|1(-)	1534	1532.77	4152	22.5602
NM_006111|ACAA2|47309937|47340251|47309937|47310216|43.93|1(-)	1870	1610.42	6584	34.0496
NM_198834|ACACA|35444152|35766902|35444152|35444250|49.53|1(-)	7763	7491.2	31141	34.6212
NM_032169|ACAD11|132276985|132378975|132276985|132277814|94.39|1(-)	3552	3092.42	2363.61	6.36559
NM_012287|ACAP2|194999521|195163817|194999521|195000056|76.64|1(-)	3113	2348.44	25177	89.2864
NM_030649|ACAP3|1228250|1243269|1228250|1228943|100|1(-)	3272	3719.26	3800	8.50919
NM_022735|ACBD3|226333994|226374423|226333994|226334310|41.12|1(-)	1950	1539.63	12032	65.0853
NM_001042473|ACBD5|27469113|27531068|27469113|27486358|54.21|1(-)	18889	17226.4	9186.49	4.44136
NM_032360|ACBD6|180257365|180472022|180257365|180257497|98.13|1(-)	1602	1423.24	9761	57.1184
