target_id	length	eff_length	est_counts	tpm
NM_130786|A1BG|58858220|58864865|58858220|58858387|74.77|1(-)	1717	1816.45	1357	6.36928
NM_000014|A2M|9220308|9268825|9220308|9220418|52.34|1(-)	4915	4752.3	0	0
NM_001318038|A4GALT|43088127|43117307|43088127|43088895|83.18|1(-)	2154	2468.79	2120	7.32127
NM_001173466|AAAS|53701244|53715412|53701244|53701272|100|1(-)	1733	1908.07	14004	62.574
NM_001286682|AADAT|170981373|171011372|170981373|170982078|56.07|1(-)	2119	1599.48	24.0305	0.128091
NM_153698|AAED1|99403533|99417599|99403533|99404040|99.07|1(-)	1224	841.784	601	6.08708
NM_001271885|AAGAB|67494491|67547536|67494491|67495158|35.51|1(-)	1604	1275.71	12698	84.8629
NM_014911|AAK1|69694920|69870977|69694920|69703000|54.21|1(-)	11471	10220.8	634	0.528861
NM_001087|AAMP|219128852|219134932|219128852|219129255|85.98|1(-)	1831	1899.79	26710	119.868
NM_001605|AARS|70286288|70323412|70286288|70286623|100|1(-)	3352	3237.23	43680	115.039
NM_020745|AARS2|44267426|44281063|44267426|44268283|82.24|1(-)	3818	4033.86	5587.85	11.8102
NM_001261434|AARSD1|41102543|41116515|41102543|41102609|99.07|1(-)	1363	1183.24	2849.43	20.5315
NM_001286668|AASDH|57204539|57253674|57204539|57204567|71.96|1(-)	3242	2541.22	2842	9.53492
NM_005763|AASS|121716533|121784344|121716533|121716542|57.01|1(-)	2935	2464.64	832	2.87809
NM_001080395|AATK|79091095|79139872|79091095|79092201|61.68|1(-)	5311	6413.8	178	0.236614
NM_005502|ABCA1|107543289|107690527|107543289|107546595|50.47|1(-)	10496	9657.68	1883	1.66231
NM_001606|ABCA2|139901686|139922740|139901686|139902380|98.13|1(-)	8153	9696.88	62054	54.5598
NM_001089|ABCA3|2325882|2390747|2325882|2326674|85.05|1(-)	6619	7651.44	34743	38.7132
NM_018672|ABCA5|67243482|67311774|67243482|67243677|88.79|1(-)	6342	4777.61	4350.47	7.76355
NM_000927|ABCB1|87133174|87342639|87133174|87133558|38.32|1(-)	4720	3863.79	75	0.165494
NM_012089|ABCB10|229652589|229694442|229652589|229653925|43.93|1(-)	3596	3096.33	3593	9.89339
NM_005689|ABCB6|220074494|220083712|220074494|220074659|99.07|1(-)	3011	3359.95	5901	14.9736
NM_001271696|ABCB7|74273115|74376175|74273115|74273204|87.85|1(-)	2416	1903.42	3138	14.0558
NM_001301829|ABCC4|95672089|95953700|95672089|95673828|80.37|1(-)	5708	4775.44	34	0.0607017
NM_001320032|ABCC5|183638701|183735748|183638701|183639087|33.64|1(-)	5001	4960.61	41364	71.0922
NM_001171|ABCC6|16243422|16317328|16243422|16243989|36.45|1(-)	5116	6127.89	8110	11.2835
NM_005050|ABCD4|74752674|74769767|74752674|74753163|80.37|1(-)	2462	2435.99	2328	8.14782
NM_005692|ABCF2|150904923|150924460|150904923|150905156|37.38|1(-)	2392	2111.29	9163.32	37.0033
NM_001257386|ABCG2|89013320|89152474|89013320|89013507|43.93|1(-)	2371	2080.37	31	0.127044
NM_001145364|ABHD11|73150424|73153197|73150424|73150888|86.92|1(-)	1311	1279.78	13460.3	89.6714
NM_015600|ABHD12|25275379|25371618|25275379|25275608|88.79|1(-)	1723	1560.46	8596	46.9656
NM_001146314|ABHD14B|52002531|52008646|52002531|52003441|100|1(-)	2237	2598.33	15825	51.926
NM_198147|ABHD15|27888311|27894042|27888311|27889578|96.26|1(-)	2732	2936.69	3253	9.44411
NM_001177515|ABHD16A|31654735|31670850|31654735|31654988|94.39|1(-)	2136	2265.6	14399	54.1855
NM_001130111|ABHD17A|1876975|1885518|1876975|1877198|42.06|1(-)	1562	1770.52	12723	61.2666
NM_001308256|ABHD3|19230862|19284766|19230862|19231551|74.77|1(-)	1900	1369.4	1721	10.7148
NM_024527|ABHD8|17402940|17414282|17402940|17403469|96.26|1(-)	2089	2337.7	1897	6.91852
NM_001012750|ABI1|27036805|27150016|27036805|27037498|68.22|1(-)	2363	1853.88	12816	58.9394
NM_001136000|ABL2|179076734|179112224|179076734|179076852|60.75|1(-)	3358	3210.84	2438	6.47366
NM_001003407|ABLIM1|116193673|116444414|116193673|116196018|35.51|1(-)	4804	4734.2	8096.58	14.5811
NM_001092|ABR|906763|1012340|906763|909319|90.65|1(-)	5057	5534.03	12942	19.9386
NM_145804|ABTB2|34172534|34379555|34172534|34173933|84.11|1(-)	4902	5609.1	4003	6.08453
NM_001130410|ACAA1|38164206|38178733|38164206|38164537|100|1(-)	1534	1528.1	4075	22.7358
NM_006111|ACAA2|47309937|47340251|47309937|47310216|43.93|1(-)	1870	1595.94	6236	33.3138
NM_198834|ACACA|35444152|35766902|35444152|35444250|49.53|1(-)	7763	7449.5	30774	35.2202
NM_032169|ACAD11|132276985|132378975|132276985|132277814|94.39|1(-)	3552	3084.42	2435.22	6.73129
NM_012287|ACAP2|194999521|195163817|194999521|195000056|76.64|1(-)	3113	2358.32	23633	85.4378
NM_030649|ACAP3|1228250|1243269|1228250|1228943|100|1(-)	3272	3702.02	3865	8.90115
NM_022735|ACBD3|226333994|226374423|226333994|226334310|41.12|1(-)	1950	1540.11	11386	63.031
NM_001042473|ACBD5|27469113|27531068|27469113|27486358|54.21|1(-)	18889	17243.8	8648.73	4.27615
