target_id	length	eff_length	est_counts	tpm
NM_130786|A1BG|58858220|58864865|58858220|58858387|74.77|1(-)	1717	1828.63	949	4.51765
NM_000014|A2M|9220308|9268825|9220308|9220418|52.34|1(-)	4915	4891.12	4	0.0071191
NM_001318038|A4GALT|43088127|43117307|43088127|43088895|83.18|1(-)	2154	2489.16	1215	4.24909
NM_001173466|AAAS|53701244|53715412|53701244|53701272|100|1(-)	1733	1933.51	12947	58.2903
NM_001286682|AADAT|170981373|171011372|170981373|170982078|56.07|1(-)	2119	1600.95	47.0402	0.255778
NM_153698|AAED1|99403533|99417599|99403533|99404040|99.07|1(-)	1224	848.716	576	5.90791
NM_001271885|AAGAB|67494491|67547536|67494491|67495158|35.51|1(-)	1604	1282.62	10997	74.6362
NM_014911|AAK1|69694920|69870977|69694920|69703000|54.21|1(-)	11471	10254.5	532	0.451616
NM_001087|AAMP|219128852|219134932|219128852|219129255|85.98|1(-)	1831	1910.67	25064	114.193
NM_001605|AARS|70286288|70323412|70286288|70286623|100|1(-)	3352	3253.72	44852	119.998
NM_020745|AARS2|44267426|44281063|44267426|44268283|82.24|1(-)	3818	4036.49	4592.69	9.90458
NM_001261434|AARSD1|41102543|41116515|41102543|41102609|99.07|1(-)	1363	1184.04	3158.91	23.2244
NM_001286668|AASDH|57204539|57253674|57204539|57204567|71.96|1(-)	3242	2545.4	2890	9.8836
NM_005763|AASS|121716533|121784344|121716533|121716542|57.01|1(-)	2935	2472.69	2980	10.4911
NM_001080395|AATK|79091095|79139872|79091095|79092201|61.68|1(-)	5311	6458.03	132	0.177929
NM_005502|ABCA1|107543289|107690527|107543289|107546595|50.47|1(-)	10496	9700.16	491	0.440632
NM_001606|ABCA2|139901686|139922740|139901686|139902380|98.13|1(-)	8153	9726.26	54004	48.3341
NM_001089|ABCA3|2325882|2390747|2325882|2326674|85.05|1(-)	6619	7687.16	27834	31.5198
NM_018672|ABCA5|67243482|67311774|67243482|67243677|88.79|1(-)	6342	4772.06	4465.56	8.14599
NM_000927|ABCB1|87133174|87342639|87133174|87133558|38.32|1(-)	4720	3872.58	61	0.13712
NM_012089|ABCB10|229652589|229694442|229652589|229653925|43.93|1(-)	3596	3111.84	4865	13.6094
NM_005689|ABCB6|220074494|220083712|220074494|220074659|99.07|1(-)	3011	3379.16	4727	12.1773
NM_001271696|ABCB7|74273115|74376175|74273115|74273204|87.85|1(-)	2416	1904.37	2873	13.1328
NM_001301829|ABCC4|95672089|95953700|95672089|95673828|80.37|1(-)	5708	4790.77	17	0.0308899
NM_001320032|ABCC5|183638701|183735748|183638701|183639087|33.64|1(-)	5001	4978.26	41941	73.3389
NM_001171|ABCC6|16243422|16317328|16243422|16243989|36.45|1(-)	5116	6170.94	4977	7.02085
NM_005050|ABCD4|74752674|74769767|74752674|74753163|80.37|1(-)	2462	2457.24	1993	7.06047
NM_005692|ABCF2|150904923|150924460|150904923|150905156|37.38|1(-)	2392	2109.89	9904.59	40.8649
NM_001257386|ABCG2|89013320|89152474|89013320|89013507|43.93|1(-)	2371	2083.65	29	0.121156
NM_001145364|ABHD11|73150424|73153197|73150424|73150888|86.92|1(-)	1311	1293.5	10857.6	73.0706
NM_015600|ABHD12|25275379|25371618|25275379|25275608|88.79|1(-)	1723	1572.83	11534	63.837
NM_001146314|ABHD14B|52002531|52008646|52002531|52003441|100|1(-)	2237	2611.04	14228	47.4356
NM_198147|ABHD15|27888311|27894042|27888311|27889578|96.26|1(-)	2732	2956.15	2145	6.31647
NM_001177515|ABHD16A|31654735|31670850|31654735|31654988|94.39|1(-)	2136	2280.91	13196	50.3626
NM_001130111|ABHD17A|1876975|1885518|1876975|1877198|42.06|1(-)	1562	1782	10337	50.4964
NM_001308256|ABHD3|19230862|19284766|19230862|19231551|74.77|1(-)	1900	1367.52	4356	27.7286
NM_024527|ABHD8|17402940|17414282|17402940|17403469|96.26|1(-)	2089	2351.84	1152	4.26401
NM_001012750|ABI1|27036805|27150016|27036805|27037498|68.22|1(-)	2363	1864.52	11868	55.4094
NM_001136000|ABL2|179076734|179112224|179076734|179076852|60.75|1(-)	3358	3222.59	2285	6.17241
NM_001003407|ABLIM1|116193673|116444414|116193673|116196018|35.51|1(-)	4804	4759.62	6810.5	12.456
NM_001092|ABR|906763|1012340|906763|909319|90.65|1(-)	5057	5567.74	8387	13.113
NM_145804|ABTB2|34172534|34379555|34172534|34173933|84.11|1(-)	4902	5629.77	4266	6.59634
NM_001130410|ACAA1|38164206|38178733|38164206|38164537|100|1(-)	1534	1537.07	4227	23.9393
NM_006111|ACAA2|47309937|47340251|47309937|47310216|43.93|1(-)	1870	1603.02	6267	34.0325
NM_198834|ACACA|35444152|35766902|35444152|35444250|49.53|1(-)	7763	7479.68	34673	40.3535
NM_032169|ACAD11|132276985|132378975|132276985|132277814|94.39|1(-)	3552	3087.28	2316.99	6.53313
NM_012287|ACAP2|194999521|195163817|194999521|195000056|76.64|1(-)	3113	2367.31	21406	78.7143
NM_030649|ACAP3|1228250|1243269|1228250|1228943|100|1(-)	3272	3715.51	3372	7.90028
NM_022735|ACBD3|226333994|226374423|226333994|226334310|41.12|1(-)	1950	1543.18	10098	56.9629
NM_001042473|ACBD5|27469113|27531068|27469113|27486358|54.21|1(-)	18889	17308.8	7208.58	3.62539
NM_032360|ACBD6|180257365|180472022|180257365|180257497|98.13|1(-)	1602	1434.56	9055	54.9468
NM_001039844|ACBD7|15117474|15130775|15117474|15120528|77.57|1(-)	3369	2880.08	4038.18	12.2055
NM_001082486|ACD|67691432|67694718|67691432|67691508|100|1(-)	2048	2473.63	4782	16.8286
NM_000665|ACHE|100487615|100493592|100487615|100487834|61.68|1(-)	2254	2711.98	28	0.0898763
NM_001164814|ACIN1|23527773|23564823|23527773|23528356|92.52|1(-)	4898	4828.72	8753	15.7797
NM_001303274|ACLY|40023826|40075275|40023826|40024062|86.92|1(-)	3712	3878.64	119461	268.115
NM_007274|ACOT7|6324332|6453826|6324332|6324656|100|1(-)	1804	1901.47	4622	21.1599
NM_005469|ACOT8|44470360|44486048|44470360|44470476|96.26|1(-)	1170	1234.43	7958	56.1192
NM_001330259|ACOT9|23721794|23761404|23721794|23722010|89.72|1(-)	1581	1259.03	5134	35.4972
NM_001185039|ACOX1|73941662|73975515|73941662|73942828|81.31|1(-)	3684	3284.99	52840	140.024
NM_003501|ACOX3|8368439|8442452|8368439|8368687|87.85|1(-)	2443	2563.44	2965	10.0687
NM_001302489|ACP2|47261336|47270179|47261336|47261666|47.66|1(-)	1632	1714.98	5499	27.9125
NM_001111034|ACP5|11685475|11689595|11685475|11685824|35.51|1(-)	1610	1672.01	1	0.00520635
NM_001323625|ACP6|147119170|147142665|147119170|147119978|96.26|1(-)	2515	2694.1	1583	5.11494
NM_001286708|ACSL1|185678175|185733413|185678175|185678278|43.93|1(-)	2332	2041.08	37639	160.528
NM_001318509|ACSL4|108886908|108976632|108886908|108887257|52.34|1(-)	2983	2237.1	1024	3.98462
NM_001252675|ACSS1|24986873|25038818|24986873|24988397|54.21|1(-)	3668	3980.57	6988	15.282
NM_001100|ACTA1|229566992|229569843|229566992|229567245|42.99|1(-)	1492	1393.67	64.0061	0.399793
NM_001141945|ACTA2|90694831|90751154|90694831|90694979|90.65|1(-)	1764	1770.03	505	2.48362
NM_001101|ACTB|5567299|5570232|5567299|5567378|55.14|1(-)	1291	1240.76	547081	3838.28
NM_005159|ACTC1|35082426|35087927|35082426|35082612|33.64|1(-)	1563	1511.77	2.0001	0.0115169
NM_001199954|ACTG1|79477595|79479892|79477595|79477715|51.4|1(-)	1506	1473.95	143667	848.489
NM_001102|ACTN1|69341037|69446083|69341037|69341575|100|1(-)	3527	3394.58	29785.1	76.3813
NM_005736|ACTR1A|104240558|104262512|104240558|104240619|98.13|1(-)	1300	1204.19	16931	122.395
NM_005735|ACTR1B|98272468|98280561|98272468|98273320|72.9|1(-)	2191	2442.22	9172	32.6929
NM_022899|ACTR8|53902680|53916229|53902680|53902745|90.65|1(-)	2041	1735.09	2225	11.163
NM_032487|ACTRT3|169485110|169487683|169485110|169485219|36.45|1(-)	1603	1454.51	535	3.20192
NM_001105|ACVR1|158592958|158731623|158592958|158594042|88.79|1(-)	3044	2622.42	1061	3.52197
NM_001107|ACYP1|75520118|75530752|75520118|75520146|42.99|1(-)	432	254.379	1443	49.3807
NM_000022|ADA|43248163|43280399|43248163|43248474|100|1(-)	1554	1494.16	270	1.57304
NM_001110|ADAM10|58889383|59042177|58889383|58889745|63.55|1(-)	3053	2523.33	8204	28.3026
NM_001288973|ADAM12|127700960|128077127|127700960|127705847|45.79|1(-)	8021	7556.04	5	0.00576035
NM_003183|ADAM17|9630016|9695949|9630016|9630305|45.79|1(-)	2979	2418.16	3081	11.0913
NM_033274|ADAM19|156904312|157002831|156904312|156907956|70.09|1(-)	6528	7242.92	63	0.0757181
NM_001109|ADAM8|135075927|135090407|135075927|135076659|84.11|1(-)	3293	3906.3	467	1.0407
NM_006988|ADAMTS1|28209330|28217728|28209330|28209897|36.45|1(-)	3926	3749	38	0.0882351
NM_001282352|ADAMTS10|8645124|8657080|8645124|8645776|56.07|1(-)	2459	2871.68	7	0.0212195
NM_014244|ADAMTS2|178537854|178772431|178537854|178540867|31.78|1(-)	6751	7413.04	5.00519	0.00587757
NM_014243|ADAMTS3|73146686|73434516|73146686|73148852|42.99|1(-)	5821	4808.92	47	0.0850792
NM_001320336|ADAMTS4|161159538|161168843|161159538|161160739|31.78|1(-)	4168	4822.42	70.1183	0.126573
NM_007038|ADAMTS5|28290241|28339439|28290241|28296371|42.06|1(-)	9652	8112.24	1	0.00107308
NM_197941|ADAMTS6|64444565|64777747|64444565|64447662|48.6|1(-)	7308	6259.79	12	0.0166876
