target_id	length	eff_length	est_counts	tpm
NM_130786|A1BG|58858220|58864865|58858220|58858387|74.77|1(-)	1717	1827.43	1111	4.89055
NM_000014|A2M|9220308|9268825|9220308|9220418|52.34|1(-)	4915	4887.81	3	0.00493731
NM_001318038|A4GALT|43088127|43117307|43088127|43088895|83.18|1(-)	2154	2493.02	1357	4.37863
NM_001173466|AAAS|53701244|53715412|53701244|53701272|100|1(-)	1733	1947.64	13838	57.1542
NM_001286682|AADAT|170981373|171011372|170981373|170982078|56.07|1(-)	2119	1601.75	30.0741	0.151036
NM_153698|AAED1|99403533|99417599|99403533|99404040|99.07|1(-)	1224	848.203	694	6.58178
NM_001271885|AAGAB|67494491|67547536|67494491|67495158|35.51|1(-)	1604	1283.59	11990	75.1408
NM_014911|AAK1|69694920|69870977|69694920|69703000|54.21|1(-)	11471	10225.5	598	0.470435
NM_001087|AAMP|219128852|219134932|219128852|219129255|85.98|1(-)	1831	1930.53	27273	113.643
NM_001605|AARS|70286288|70323412|70286288|70286623|100|1(-)	3352	3256.23	48675	120.247
NM_020745|AARS2|44267426|44281063|44267426|44268283|82.24|1(-)	3818	4070.02	4905.01	9.69454
NM_001261434|AARSD1|41102543|41116515|41102543|41102609|99.07|1(-)	1363	1192.25	3227.97	21.7795
NM_001286668|AASDH|57204539|57253674|57204539|57204567|71.96|1(-)	3242	2542.21	2951	9.33773
NM_005763|AASS|121716533|121784344|121716533|121716542|57.01|1(-)	2935	2465.52	2874	9.37698
NM_001080395|AATK|79091095|79139872|79091095|79092201|61.68|1(-)	5311	6473.87	123	0.152836
NM_005502|ABCA1|107543289|107690527|107543289|107546595|50.47|1(-)	10496	9697.79	513	0.425528
NM_001606|ABCA2|139901686|139922740|139901686|139902380|98.13|1(-)	8153	9760.59	54901	45.2468
NM_001089|ABCA3|2325882|2390747|2325882|2326674|85.05|1(-)	6619	7702.49	29749	31.0688
NM_018672|ABCA5|67243482|67311774|67243482|67243677|88.79|1(-)	6342	4740.93	4454.85	7.55881
NM_000927|ABCB1|87133174|87342639|87133174|87133558|38.32|1(-)	4720	3868.19	54	0.112297
NM_012089|ABCB10|229652589|229694442|229652589|229653925|43.93|1(-)	3596	3102.87	5205	13.494
NM_005689|ABCB6|220074494|220083712|220074494|220074659|99.07|1(-)	3011	3393.98	5159	12.2276
NM_001271696|ABCB7|74273115|74376175|74273115|74273204|87.85|1(-)	2416	1910.69	3290	13.8513
NM_001301829|ABCC4|95672089|95953700|95672089|95673828|80.37|1(-)	5708	4773.21	24	0.0404469
NM_001320032|ABCC5|183638701|183735748|183638701|183639087|33.64|1(-)	5001	4984.84	44711	72.1517
NM_001171|ABCC6|16243422|16317328|16243422|16243989|36.45|1(-)	5116	6188.18	5386	7.00144
NM_005050|ABCD4|74752674|74769767|74752674|74753163|80.37|1(-)	2462	2456.38	2039	6.67736
NM_005692|ABCF2|150904923|150924460|150904923|150905156|37.38|1(-)	2392	2117.38	10648	40.4532
NM_001257386|ABCG2|89013320|89152474|89013320|89013507|43.93|1(-)	2371	2085.82	34	0.131125
NM_001145364|ABHD11|73150424|73153197|73150424|73150888|86.92|1(-)	1311	1301.79	11395.4	70.4164
NM_015600|ABHD12|25275379|25371618|25275379|25275608|88.79|1(-)	1723	1575.25	12171	62.1528
NM_001146314|ABHD14B|52002531|52008646|52002531|52003441|100|1(-)	2237	2631.92	15015	45.892
NM_198147|ABHD15|27888311|27894042|27888311|27889578|96.26|1(-)	2732	2957.93	2364	6.42901
NM_001177515|ABHD16A|31654735|31670850|31654735|31654988|94.39|1(-)	2136	2295.24	13943	48.8665
NM_001130111|ABHD17A|1876975|1885518|1876975|1877198|42.06|1(-)	1562	1783.67	11436	51.5756
NM_001308256|ABHD3|19230862|19284766|19230862|19231551|74.77|1(-)	1900	1370.57	4810	28.2311
NM_024527|ABHD8|17402940|17414282|17402940|17403469|96.26|1(-)	2089	2353.75	1182	4.03963
NM_001012750|ABI1|27036805|27150016|27036805|27037498|68.22|1(-)	2363	1870.38	12770	54.9219
NM_001136000|ABL2|179076734|179112224|179076734|179076852|60.75|1(-)	3358	3229.37	2309	5.75162
NM_001003407|ABLIM1|116193673|116444414|116193673|116196018|35.51|1(-)	4804	4759.6	7136.92	12.0621
NM_001092|ABR|906763|1012340|906763|909319|90.65|1(-)	5057	5566.84	8935	12.9113
NM_145804|ABTB2|34172534|34379555|34172534|34173933|84.11|1(-)	4902	5643.24	4506	6.42313
NM_001130410|ACAA1|38164206|38178733|38164206|38164537|100|1(-)	1534	1546.41	4470	23.2523
NM_006111|ACAA2|47309937|47340251|47309937|47310216|43.93|1(-)	1870	1612.03	6954	34.7014
NM_198834|ACACA|35444152|35766902|35444152|35444250|49.53|1(-)	7763	7490.82	37257	40.0094
NM_032169|ACAD11|132276985|132378975|132276985|132277814|94.39|1(-)	3552	3091.68	2355.12	6.12777
NM_012287|ACAP2|194999521|195163817|194999521|195000056|76.64|1(-)	3113	2357.69	22784	77.737
NM_030649|ACAP3|1228250|1243269|1228250|1228943|100|1(-)	3272	3724.12	3582	7.73723
NM_022735|ACBD3|226333994|226374423|226333994|226334310|41.12|1(-)	1950	1546.84	10624	55.2492
NM_001042473|ACBD5|27469113|27531068|27469113|27486358|54.21|1(-)	18889	17263.1	7341.87	3.42115
NM_032360|ACBD6|180257365|180472022|180257365|180257497|98.13|1(-)	1602	1437.46	10291	57.5899
NM_001039844|ACBD7|15117474|15130775|15117474|15120528|77.57|1(-)	3369	2889.85	4072.82	11.3371
